nmrFileName,peakid,mzml,researcher,username,instrument,organization,date
zvanycr-20121009-272mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Oct 09 00:00:00 EDT 2012
zvanycr-20121009-LP_277mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Oct 09 00:00:00 EDT 2012
zvanycr-20121009-LP_316mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Oct 09 00:00:00 EDT 2012
zvanycr-20130723-SMU-1003-MUTALIN-C,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Jul 23 00:00:00 EDT 2013
zvanycr-20130723-SMU-858-mutalin-A,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Jul 23 00:00:00 EDT 2013
zvanycr-20130723-SMU-961-mutalin-B,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Jul 23 00:00:00 EDT 2013
zvanycr-20130724-SMU-1003.6mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Jul 24 00:00:00 EDT 2013
zvanycr-20130724-SMU-1003.6mz_3,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Jul 24 00:00:00 EDT 2013
zvanycr-20130724-SMU-1003mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Jul 24 00:00:00 EDT 2013
zvanycr-20130724-SMU-858.6mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Jul 24 00:00:00 EDT 2013
zvanycr-20130724-SMU_961.6mz_DCl,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Jul 24 00:00:00 EDT 2013
zvanycr-20130724-SMU_961.6mz_DCl_WS,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Jul 24 00:00:00 EDT 2013
zvanycr-20130724-SMU_961.6mz_DCl_WS_COSY,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Thu Jul 25 00:00:00 EDT 2013
zvanycr-20130725-SMU_858.6mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Thu Jul 25 00:00:00 EDT 2013
zvanycr-20130725-SMU_858.6mz_COSY,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Fri Jul 26 00:00:00 EDT 2013
zvanycr-20130725-SMU_858.6mz_WS_256,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Fri Jul 26 00:00:00 EDT 2013
zvanycr-20130731-SMU-CDM-826.4mz-Pyridine,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Jul 31 00:00:00 EDT 2013
zvanycr-20130731-SMU-CDM-858.4mz-ACN,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Jul 31 00:00:00 EDT 2013
